EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
107985,Toronto,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.217000448,5.6,0.908301875,24.3512567,2.26230563,3.074704668,0.285649392,Not Available,Not Available,1.051677171,27.14,1.267515116,32.71,1.114064799,28.75,1.329902745,34.32,43.05564442,4,Not Available,Not Available,No,Not Available
107990,York,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.418500864,10.8,0.340613203,9.131721261,0.848364611,1.977818242,0.183745316,0.183745316,0.183745316,0.669988883,17.29,1.042764652,26.91,0.716488979,18.49,1.123364819,28.99,16.14586666,1.5,Not Available,Not Available,Yes,2021-06-30
107994,Toronto,M6N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.255750528,6.6,0.79476414,21.30734961,1.979517426,2.666020758,0.247681417,Not Available,Not Available,1.042764652,26.91,1.303940191,33.65,1.075314719,27.75,1.331065247,34.35,39.82647109,3.7,Not Available,Not Available,Yes,2021-06-02
107995,Toronto,M6N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.27125056,7,0.79476414,21.30734961,1.979517426,3.008695901,0.279516978,Not Available,Not Available,1.079964729,27.87,1.350440287,34.85,1.10941479,28.63,1.378727846,35.58,40.9028622,3.8,Not Available,Not Available,Yes,2021-06-02
108017,Toronto,M6N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.166625344,4.3,0.454150937,12.17562835,1.131152815,1.283096342,0.119203543,0.119203543,0.119203543,0.552963641,14.27,0.716488979,18.49,0.579313696,14.95,0.744001536,19.2,20.4514311,1.9,Not Available,Not Available,Yes,2021-05-21
108019,Toronto,M6N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.209250432,5.4,0.340613203,9.131721261,0.848364611,1.50964495,0.140250596,0.140250596,0.140250596,0.584738707,15.09,0.790501632,20.4,0.602951244,15.56,0.808714169,20.87,19.37503999,1.8,Not Available,Not Available,Yes,2021-05-18
108035,Toronto,M8X,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Heated Swimming Pool, Multifamily Housing, Parking",Not Available,0.13562528,3.5,0.454150937,12.17562835,1.131152815,0.134869765,0.01252981,Not Available,Not Available,0.527001088,13.6,0.659913862,17.03,0.556451149,14.36,0.690526425,17.82,20.4514311,1.9,Not Available,Not Available,Yes,2021-06-14
108038,Etobicoke,M8X,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.217000448,5.6,0.340613203,9.131721261,0.848364611,0.959979353,0.089184995,0.089184995,0.089184995,0.509951053,13.16,0.719976486,18.58,0.525838585,13.57,0.734701516,18.96,16.14586666,1.5,Not Available,Not Available,Yes,2021-06-30
108042,Etobicoke,M8X,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.325500672,8.4,0.79476414,21.30734961,1.979517426,1.82502017,0.169549911,0.169549911,0.169549911,1.052839673,27.17,1.378727846,35.58,1.097014764,28.31,1.417477926,36.58,37.67368887,3.5,Not Available,Not Available,Yes,2021-06-30
108053,ETOBICOKE,M8W,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Not Available,0.282875584,7.3,0.681226406,18.26344252,1.696729223,0.064378921,0.005980997,Not Available,Not Available,0.921089401,23.77,1.200477478,30.98,0.968752,25,1.249302579,32.24,33.36812443,3.1,Not Available,Not Available,Yes,2021-04-28
108056,Etobicoke,M8W,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,"Manufacturing/Industrial Plant, Parking",Not Available,0.085250176,2.2,0.340613203,9.131721261,0.848364611,0.058266998,0.005413181,Not Available,Not Available,0.378200781,9.76,0.463450957,11.96,0.424700877,10.96,0.511113555,13.19,15.06947555,1.4,Not Available,Not Available,No,Not Available
108106,Toronto,M9C,Other - Mall,Retail Store,Other - Mall,"Other - Mall, Parking",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005704461,0.000529962,Not Available,Not Available,0.461125952,11.9,0.761051571,19.64,Not Available,Not Available,Not Available,Not Available,8.611128884,0.8,Not Available,Not Available,Yes,2021-05-11
108109,Etobicoke,M9C,Strip Mall,Strip Mall,Strip Mall,Strip Mall,Not Available,0.685876416,17.7,0.340613203,9.131721261,0.848364611,0.487323984,0.045273877,0.045273877,0.045273877,1.018739603,26.29,1.693378495,43.7,1.050514668,27.11,1.713916038,44.23,19.37503999,1.8,Not Available,Not Available,No,Not Available
108111,Etobicoke,M9C,Enclosed Mall,Enclosed Mall,Enclosed Mall,Enclosed Mall,Not Available,0.786626624,20.3,0.340613203,9.131721261,0.848364611,0.445762908,0.041412727,0.006738085,0.006738085,1.058652185,27.32,1.814666245,46.83,1.099339769,28.37,1.85574133,47.89,18.29864888,1.7,Not Available,Not Available,Yes,2021-05-13
108114,Etobicoke,M9C,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Heated Swimming Pool, Multifamily Housing",Not Available,0.259625536,6.7,0.340613203,9.131721261,0.848364611,1.242757651,0.115455956,0.115455956,0.115455956,0.570013677,14.71,0.825764204,21.31,0.594038726,15.33,0.847076748,21.86,16.14586666,1.5,Not Available,Not Available,Yes,2021-07-13
108116,Toronto,M9C,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.430125888,11.1,0.681226406,18.26344252,1.696729223,2.125726776,0.197486467,0.197486467,0.197486467,1.082289734,27.93,1.502340601,38.77,1.139252351,29.4,1.559303218,40.24,34.44451554,3.2,Not Available,Not Available,Yes,2021-06-28
108119,Etobicoke,M9C,Strip Mall,Strip Mall,Strip Mall,Strip Mall,Not Available,0.554126144,14.3,0.454150937,12.17562835,1.131152815,0.377309372,0.035053185,0.035053185,0.035053185,0.926901913,23.92,1.463978022,37.78,0.966426995,24.94,1.503503103,38.8,21.52782221,2,Not Available,Not Available,Yes,2021-05-14
108130,Toronto,M8Z,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,0.340613203,9.131721261,0.848364611,0.041968537,0.003899004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,No,Not Available
108147,Toronto,M8Z,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,"Manufacturing/Industrial Plant, Parking",Not Available,0.40687584,10.5,0.454150937,12.17562835,1.131152815,0.652753363,0.060642768,Not Available,Not Available,0.831189216,21.45,1.226440031,31.65,0.871101798,22.48,1.265190111,32.65,23.68060443,2.2,Not Available,Not Available,Yes,2021-04-29
108149,TORONTO,M8Z,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Other",Not Available,0.488251008,12.6,0.454150937,12.17562835,1.131152815,0.273814145,0.025438165,0.025438165,0.025438165,0.878851814,22.68,1.352765292,34.91,0.938139436,24.21,1.412827916,36.46,21.52782221,2,Not Available,Not Available,Yes,2021-06-17
108164,Toronto,M8X,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.282875584,7.3,0.454150937,12.17562835,1.131152815,0.914343662,0.0849453,0.0849453,0.0849453,0.64945134,16.76,0.925739411,23.89,0.694013932,17.91,0.967589497,24.97,19.37503999,1.8,Not Available,Not Available,Yes,2021-05-19
108167,ETOBICOKE,M8X,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.36812576,9.5,0.908301875,24.3512567,2.26230563,0.388310833,0.036075255,Not Available,Not Available,1.214040006,31.33,1.583328268,40.86,1.284565151,33.15,1.648040902,42.53,43.05564442,4,Not Available,Not Available,No,Not Available
